Largura da aba (pol),Largura da aba (mm),Espessura do aço (pol),Espessura do aço (mm),Comprimento aprox. (m)
2 1/2'',63.50,3/16'',4.76,6.00
3'',76.20,3/16'',4.76,6.00
1'',25.40,1/4'',6.35,6.00
1 1/4'',31.75,1/4'',6.35,6.00
1 1/2'',38.10,1/4'',6.35,6.00
2'',50.80,1/4'',6.35,6.00
2 1/2'',63.50,1/4'',6.35,6.00
3'',76.20,1/4'',6.35,6.00
4'',101.60,1/4'',6.35,6.00
2'',50.80,5/16'',7.94,6.00
2 1/2'',63.50,5/16'',7.94,6.00
3'',76.20,5/16'',7.94,6.00
4'',101.60,5/16'',7.94,6.00
5'',127.00,5/16'',7.94,6.00
3'',76.20,1/2'',12.70,6.00
4'',101.60,1/2'',12.70,6.00