Diâmetro externo(pol),Diâmetro externo(mm),Aço,Comprimento aprox.(m)
3/8'',9.52,1020,6.00
1/2'',12.70,1020/1045,6.00
5/8'',15.88,1020,6.00
3/4'',19.05,1020,6.00
7/8'',22.22,1020,6.00
1'',25.40,1020,6.00
1 1/4'',31.75,1020,6.00
1 1/2'',38.10,1020/1045,6.00
1 5/8'',41.27,1020/1045,6.00
2'',50.80,1020/1045,6.00
2 1/4'',57.15,1020/1045,6.00
2 1/2'',63.50,1020/1045,6.00
3'',76.20,1020/1045,6.00
3 1/2'',88.90,1020/1045,6.00
4'',101.60,1020/1045,6.00
4 1/2'',114.30,1020,6.00
5'',127.00,1045,6.00
5 1/2'',139.70,1045,6.00
6'',152.40,1045,6.00
6 1/2'',165.10,1045,6.00
7'',177.80,1045,6.00
7 1/2'',190.50,1045,6.00
8 1/2'',215.90,1045,6.00
8'',203.20,1045,6.00
9'',228.60,1045,6.00
10'',254.00,1045,6.00
11'',279.40,1045,6.00
12'',304.80,1045,6.00