Chapa,Chapa(mm),Diâmetro(pol),Diâmetro(mm),Comprimento(m)
#14,"2,00",1'',"25,40",6
#14,"2,00",1 1/4'',"31,75",6
#14,"2,00",1 1/2'',"38,10",6
#14,"2,00",1 3/4'',"44,45",6
#14,"2,00",2'',"50,80",6
#14,"2,00",3'',"76,20",6
#14,"2,00",4'',"101,60",6
#13,"3,00",2'',"50,80",6
#12,"2,25",2 1/2'',"63,50",6
#12,"2,25",6'',"152,40",6
#12,"2,25",6 1/2,"165,10",6
1/8'',"3,18",1'',"25,40",6
1/8'',"3,18",1 1/4'',"31,75",6
1/8'',"3,18",1 1/2'',"38,10",6
1/8'',"3,18",2'',"50,80",6
1/8'',"3,18",3'',"76,20",6
1/8'',"3,18",3 1/2'',"88,90",6
1/8'',"3,18",4'',"101,60",6
1/8'',"3,18",8'',"203,20",6
1/8'',"3,18",8 1/2'',"215,90",6