Tipo,Altura (mm),Altura (pol),Largura da Aba (mm),Largura da Aba (pol),Espessura da Alma (mm),Espessura da Alma (pol),Comprimento (m),A̤o
Viga I,100,"63/16""",55,"13/6""","4,1","5/31""",6,MR250
Viga I,150,"313/53""",75,"189/64""","5,0","12/61""",6,MR250
Viga I,200,"63/8""",100,"63/16""","5,5","13/60""",6,AR350
Viga I,300,"437/37""",125,"187/38""","6,5","11/43""",6,AR350
Viga I,400,"63/4""",140,"237/43""","8,0","17/54""",6,AR415
Viga I,500,"1063/54""",180,"163/23""","9,0","17/48""",6,AR415
Viga U,38,"3/2""",25,"63/64""","4,1","5/31""",6,MR250
Viga U,76,"191/64""",40,"63/40""","4,8","7/37""",6,MR250
Viga U,100,"63/16""",50,"63/32""","5,0","12/61""",6,AR350
Viga U,150,"313/53""",65,"87/34""","6,0","13/55""",6,AR350
Viga U,200,"63/8""",75,"189/64""","6,5","11/43""",6,AR415
Viga U,305,"769/64""",84,"43/13""","13,4","19/36""",6,AR415
